2020-7-28T17:05Z,7,Kenosha;WI,59.28,2.61,DoorDashKenosha;WI59.282020-7-28T17:05Z2020-7-28T19:46Z7,2020-7-28T19:46Z,22.09
2020-4-23T11:05Z,11,Kenosha;WI,86.19,2.95,DoorDashKenosha;WI86.192020-4-23T11:05Z2020-4-23T14:49Z11,2020-4-23T14:49Z,23.09
2020-7-3T13:25Z,2,Kenosha;WI,21.00,1.50,DoorDashKenosha;WI21.002020-7-3T13:25Z2020-7-3T14:45Z2,2020-7-3T14:45Z,15.75
2020-5-20T17:03Z,10,Kenosha;WI,84.40,2.73,DoorDashKenosha;WI84.402020-5-20T17:03Z2020-5-20T20:43Z10,2020-5-20T20:43Z,23.02
2020-6-18T18:34Z,4,Kenosha;WI,41.00,2.16,DoorDashKenosha;WI41.002020-6-18T18:34Z2020-6-18T20:25Z4,2020-6-18T20:25Z,22.16
2020-4-6T10:56Z,7,Kenosha;WI,50.00,2.90,DoorDashKenosha;WI50.002020-4-6T10:56Z2020-4-6T13:21Z7,2020-4-6T13:21Z,20.69
2020-5-2T15:03Z,18,Kenosha;WI,167.12,3.00,DoorDashKenosha;WI167.122020-5-2T15:03Z2020-5-2T21:31Z18,2020-5-2T21:31Z,27.85
2020-4-5T15:04Z,11,Kenosha;WI,107.11,2.18,DoorDashKenosha;WI107.112020-4-5T15:04Z2020-4-5T20:07Z11,2020-4-5T20:07Z,21.21
2020-5-20T12:48Z,1,Kenosha;WI,8.31,0.98,DoorDashKenosha;WI8.312020-5-20T12:48Z2020-5-20T13:49Z1,2020-5-20T13:49Z,8.17
2020-8-16T16:55Z,7,Kenosha;WI,62.71,2.08,DoorDashKenosha;WI62.712020-8-16T16:55Z2020-8-16T20:17Z7,2020-8-16T20:17Z,18.63
2020-4-25T21:35Z,1,Kenosha;WI,8.00,3.00,DoorDashKenosha;WI8.002020-4-25T21:35Z2020-4-25T21:55Z1,2020-4-25T21:55Z,24.00
2020-3-20T16:56Z,11,Kenosha;WI,96.70,2.60,DoorDashKenosha;WI96.702020-3-20T16:56Z2020-3-20T21:10Z11,2020-3-20T21:10Z,22.84
2020-3-25T17:30Z,4,Kenosha;WI,40.00,2.29,DoorDashKenosha;WI40.002020-3-25T17:30Z2020-3-25T19:15Z4,2020-3-25T19:15Z,22.86
